word,definition
put up with,continue to accept an unpleasant situation or experience
glimpse,occasion when you see something/someone for a very short time
head over heels,completely in love
mongering,"act of encouraging a particular activity, especially one that causes trouble"
draw up,prepare something official in writing
blushes,"become pink in the face, usually from embarrassment"
crop,group of people/things with something in common
perfect fashion,"acting in an idea, or highly skillful manner"
blip,unexpected and unusual condition that is temporary
fluke,strike of luck
shuteye,sleep
child rearing,work of taking care of children until they are old enough to care for themselves
unobtrusive,not noticeable
boast,have or own something to be proud of
flop,failure
breeze,something easy to do
grapple,"fight, in order to win something"
recoil,move back beacuse of fear or disgust (dislike or disapproval)
ubiquitous,seeming to be everywhere
mitigate,make something less severe or harmful
elicit,get or produce something (especially information or a reaction)
paradigm,"a typical example or pattern of something, a model"
resilient,able to withstand or recover quickly from difficult conditions
